Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
60,Brandon Boston Jr.,SG,20,LAC,51,760,.385,.658,.258,.126,.123,.151,.342,.425,.631,.122,.450,.306,.306,bostobr01
61,Chris Boucher,SF,29,TOR,80,1690,.464,.603,.430,.113,.026,.035,.397,.575,.661,.400,.400,.200,.297,bouchch01
62,James Bouknight,SG,21,CHO,31,304,.348,.652,.333,.241,.043,.035,.348,.348,.553,.147,.000,.200,.347,bouknja01
63,Avery Bradley,SG,31,LAL,62,1406,.423,.400,.137,.091,.083,.089,.600,.471,.604,.281,.483,.452,.390,bradlav01
64,Tony Bradley,C,24,CHI,55,549,.585,1.000,.626,.252,.065,.057,.000,.585,.649,.484,.375,.571,,bradlto01
65,Ignas Brazdeikis,SF,23,ORL,42,536,.431,.537,.293,.202,.027,.016,.463,.535,.636,.421,.200,.667,.310,brazdig01
66,Mikal Bridges,SF,25,PHO,82,2854,.534,.636,.227,.205,.159,.045,.364,.628,.795,.619,.507,.256,.369,bridgmi01
67,Miles Bridges,PF,23,CHO,80,2837,.491,.617,.357,.212,.020,.029,.383,.590,.723,.412,.458,.343,.331,bridgmi02
68,Oshae Brissett,SF,23,IND,67,1564,.411,.532,.326,.152,.024,.030,.468,.465,.582,.299,.167,.267,.350,brissos01
69,Malcolm Brogdon,PG,29,IND,36,1206,.448,.657,.285,.192,.103,.077,.343,.518,.632,.452,.411,.405,.312,brogdma01
70,Armoni Brooks,SG-PG,23,TOT,54,844,.339,.138,.083,.035,.010,.010,.862,.600,.708,.600,.000,.333,.297,brookar01
70,Armoni Brooks,SG,23,HOU,41,690,.347,.151,.092,.036,.012,.012,.849,.605,.739,.556,.000,.333,.300,brookar01
70,Armoni Brooks,PG,23,TOR,13,154,.289,.053,.026,.026,.000,.000,.947,.500,.000,1.000,,,.278,brookar01
71,Dillon Brooks,SF,26,MEM,32,885,.432,.717,.196,.249,.186,.086,.283,.480,.680,.389,.398,.467,.309,brookdi01
72,Bruce Brown,SF,25,BRK,72,1774,.506,.814,.393,.302,.103,.016,.186,.529,.693,.379,.404,.125,.404,brownbr01
